Date:,28/9/2023,,,,,,,,,,,,,,,,,
Time,5:22 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status
39,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,omar,zyny,Omar.zyny@mail.com,Tel: 5241250556,Laptop,ASUS ROG,ASUS ROG Strix Scar 17,X358,1,1999,59.97,TRUE
40,1/1/2023,Syria,aleppo,al01,36.2021,37.1343,husayn,eubayd,HUSAYN.EUBAYD@MAIL.COM,Tel: 5715369740,Digital Camera,Sony Alpha,Sony Alpha A6400,K923,8,899,503.44,TRUE
41,1/1/2023,USA,new york,ny01,40.7128,-74.006,khalid,abu,Khalid.abu@mail.com,Tel: 5641023552,Laptop,Apple MacBook,"MacBook Pro 16""",U646,1,2399,23.99,FALSE
42,1/1/2023,Saudi Arabia,jeddah,jd02,21.4858,39.1925,muhamad,eurman,muhamad.eurman@mail.com,Tel: 5107468690,Smartwatch,Huawei Watch,Huawei Watch GT 3 Pro,H574,1,349,24.43,FALSE
43,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,husam,earabi,husam.earabi@mail.com,Tel: 5089090827,Smartphone,Xiaomi Redmi,Xiaomi Redmi 10,L025,1,199,3.98,FALSE
44,1/1/2023,USA,washington,wh01,38.9072,-77.0369,anwar,alaya,anwar.alaya@mail.com,Tel: 5196386412,Fitness Tracker,Garmin Vivosmart,Garmin Vivosmart 4,R021,1,129,10.32,TRUE
45,1/1/2023,Syria,damascus,ds02,33.5146,36.3084,alaa,aleaqla,Alaa.aleaqla@mail.com,Tel: 5875603344,Laptop,ASUS ROG,ASUS ROG Zephyrus G14,L106,1,1299,38.97,FALSE
46,1/1/2023,Morocco,casablanca,cs01,33.5731,7.5898,lwy,alhasan,lwy.alhasan@mail.com,Tel: 5124835707,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,Y940,1,799,31.96,FALSE
47,1/1/2023,Egypt,cairo,cr03,30.0444,31.2357,mazin,ayman,mazin.ayman@mail.com,Tel: 5802259188,Smart Speaker,JBL Link,JBL Link 20,X358,1,99,5.94,TRUE
48,1/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,abd alruhmin,alaishhab,abd alruhmin.alaishhab@mail.com,Tel: 5842234163,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,X856,1,249,24.9,TRUE
49,1/1/2023,Morocco,casablanca,cs01,33.5731,7.5898,mari,aleisaa,MARI.ALEISAA@MAIL.COM,Tel: 5252041239,Fitness Tracker,Withings Move,Withings Move,J408,12,59,7.08,FALSE
50,1/1/2023,Syria,damascus,ds02,33.5146,36.3084,zayn,bwalsibae,zayn.bwalsibae@mail.com,Tel: 5897050689,Smartwatch,Garmin Venu,Garmin Venu 2S,H016,1,349,6.98,TRUE
51,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,rwbyna,qisam,RWBYNA.QISAM@MAIL.COM,Tel: 5005862331,Gaming Console,Sony PlayStation,PlayStation 4 Pro,S190,13,399,103.74,TRUE
52,1/1/2023,Saudi Arabia,jeddah,jd02,21.4858,39.1925,alaa,dwalyby,Alaa.dwalyby@mail.com,Tel: 5715167065,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,R660,3,649,194.7,TRUE
53,1/1/2023,Morocco,casablanca,cs01,33.5731,7.5898,jihad,maeruf,jihad.maeruf@mail.com,Tel: 5616554637,Smartphone,OnePlus,OnePlus 10 Pro,J345,1,999,,TRUE
54,1/1/2023,United Arab Emirates,dubai,db01,25.2048,55.2708,iin,kafa,Iin.kafa@mail.com,Tel: 5315580289,Smart Speaker,Google Nest,Nest Audio,K140,1,99,9.9,TRUE
55,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,duhana,almala,DUHANA.ALMALA@MAIL.COM,Tel: 5538116114,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,J264,1,129,12.9,FALSE
56,1/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,hasan,khalf,hasan.khalf@mail.com,Tel: 5761536601,VR Headset,Valve Index,Valve Index VR Kit 2,S149,4,1199,287.76,FALSE
57,1/1/2023,Saudi Arabia,dammam,dm01,26.3927,49.9777,omar,dawara,OMAR.DAWARA@MAIL.COM,Tel: 5883193232,VR Headset,HTC Vive,HTC Vive Cosmos Elite,Z502,2,899,107.88,TRUE
58,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,suzan,alhamadii,SUZAN.ALHAMADII@MAIL.COM,Tel: 5730032583,Smartphone,Xiaomi Redmi,Xiaomi Redmi Note 11 Pro,F340,2,299,,TRUE
59,1/1/2023,Saudi Arabia,jeddah,jd01,21.5433,39.1728,lilas,aghasi,lilas.aghasi@mail.com,Tel: 5277786111,Laptop,HP Pavilion,HP Pavilion x360,L700,1,649,12.98,FALSE
,,,,,,,,,,,,,,,,,,
60,1/1/2023,United Arab Emirates,dubai,db01,25.2048,55.2708,tariq,aldiyn,TARIQ.ALDIYN@MAIL.COM,Tel: 5177009849,Smart Speaker,Sonos One,Sonos Move,G229,1,399,23.94,TRUE
61,1/1/2023,United Arab Emirates,dubai,db02,25.2048,55.2708,faras,abu eadlh,faras.abu eadlh@mail.com,Tel: 5202710065,Tablet,Amazon Fire,Amazon Fire 7,P412,1,49,3.92,TRUE
62,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,ahmad,marwan,AHMAD.MARWAN@MAIL.COM,Tel: 5490402136,Laptop,Microsoft Surface,Surface Laptop 4,P344,1,1299,38.97,TRUE
63,1/1/2023,Saudi Arabia,dammam,dm01,26.3927,49.9777,ayham,almala,Ayham.almala@mail.com,Tel: 5759531759,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,C787,10,999,699.3,TRUE
64,1/1/2023,Saudi Arabia,dammam,dm01,26.3927,49.9777,khalil,tyru,KHALIL.TYRU@MAIL.COM,Tel: 5643656831,Smartphone,OnePlus,OnePlus Nord 2,P255,1,399,39.9,FALSE
65,1/1/2023,USA,new york,ny03,40.7498,-73.9814,fulla,earabi,fulla.earabi@mail.com,Tel: 5768090582,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),S855,1,49,0.49,TRUE
66,1/1/2023,Syria,aleppo,al01,36.2021,37.1343,salam,alhizae,Salam.alhizae@mail.com,Tel: 5992166009,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,S348,2,129,2.58,TRUE
67,1/1/2023,Saudi Arabia,riyadh,rd01,24.7136,46.6753,lana,hujah,lana.hujah@mail.com,Tel: 5066581909,Headphones,Sennheiser HD,Sennheiser HD 800 S,S501,1,1699,67.96,FALSE
68,1/1/2023,Saudi Arabia,jeddah,jd01,21.5433,39.1728,faras,eaziza,Faras.eaziza@mail.com,Tel: 5254766131,Laptop,Lenovo ThinkPad,ThinkPad X13,Z227,1,999,19.98,TRUE
69,1/1/2023,USA,washington,wh01,38.9072,-77.0369,tariq,ayman,tariq.ayman@mail.com,Tel: 5641374246,Laptop,Lenovo ThinkPad,ThinkPad X13,J073,1,999,29.97,TRUE
70,1/1/2023,Syria,damascus,ds02,33.5146,36.3084,almuetaz,hmshw,almuetaz.hmshw@mail.com,Tel: 5967938548,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,S395,1,999,29.97,TRUE
71,1/1/2023,Saudi Arabia,jeddah,jd03,21.4858,39.1925,lwna,khalifih,LWNA.KHALIFIH@MAIL.COM,Tel: 5951713797,Fitness Tracker,Garmin Approach,Garmin Approach S12,Y998,2,199,11.94,TRUE
72,1/1/2023,USA,washington,wh01,38.9072,-77.0369,abd alruhmin,malik,Abd Alruhmin.malik@mail.com,Tel: 5227079276,Tablet,Samsung Galaxy Tab,Galaxy Tab A7,Y590,2,179,35.8,FALSE
73,1/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,diea,salah,Diea.salah@mail.com,Tel: 5979821790,VR Headset,HTC Vive,HTC Vive Cosmos,Y958,1,699,55.92,TRUE
74,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,muhamad,alnuwri,muhamad.alnuwri@mail.com,Tel: 5235233631,VR Headset,Oculus Rift,Oculus Rift S,O247,1,399,15.96,TRUE
75,1/1/2023,United Arab Emirates,dubai,db02,25.2048,55.2708,muhamad,bradey,MUHAMAD.BRADEY@MAIL.COM,Tel: 5416347570,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,B966,1,1199,59.95,TRUE
76,1/1/2023,Saudi Arabia,jeddah,jd02,21.4858,39.1925,tariq,almisri,tariq.almisri@mail.com,Tel: 5872051164,Fitness Tracker,Amazfit GTR,Amazfit GTR 3,Y446,1,169,16.9,TRUE
77,1/1/2023,Egypt,cairo,cr03,30.0444,31.2357,dinana,alealiu,dinana.alealiu@mail.com,Tel: 5460866676,Smart Speaker,Harman Kardon,Harman Kardon Citation,Y247,2,199,23.88,FALSE
78,1/1/2023,Saudi Arabia,jeddah,jd03,21.4858,39.1925,muhamad,alkhawam,muhamad.alkhawam@mail.com,Tel: 5408416345,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,H574,1,599,41.93,TRUE
79,1/1/2023,Saudi Arabia,jeddah,jd02,21.4858,39.1925,ahmad,bara,AHMAD.BARA@MAIL.COM,Tel: 5406450504,Smart Speaker,Apple HomePod,Apple HomePod,J345,1,299,11.96,TRUE
80,1/1/2023,Saudi Arabia,jeddah,jd03,21.4858,39.1925,bidralidin,zakianiin,BIDRALIDIN.ZAKIANIIN@MAIL.COM,Tel: 5601517756,Smartphone,Apple iPhone,iPhone SE,Z764,13,399,414.96,TRUE
81,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,emam,qisam,Emam.qisam@mail.com,Tel: 5374918663,Gaming Console,Sony PlayStation,PlayStation 5,E715,1,499,19.96,TRUE
82,1/1/2023,Syria,aleppo,al01,36.2021,37.1343,rim,hamdan,rim.hamdan@mail.com,Tel: 5420204828,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,Y518,1,249,2.49,TRUE
83,1/1/2023,USA,new york,ny01,40.7128,-74.006,salim,astitih,salim.astitih@mail.com,Tel: 5653066044,Smartphone,Apple iPhone,iPhone 12,E804,1,899,89.9,TRUE
84,1/1/2023,USA,new york,ny02,40.7312,-73.9998,khalid,eilwan,Khalid.eilwan@mail.com,Tel: 5674931724,VR Headset,Oculus Rift S,Oculus Rift 2,Z612,1,499,,TRUE
85,1/1/2023,United Arab Emirates,abu dhabi,ad03,24.4539,54.3773,zahir,nasir,ZAHIR.NASIR@MAIL.COM,Tel: 5191191123,Gaming Console,Microsoft Xbox,Xbox Series S,B715,1,299,,TRUE
86,1/1/2023,France,paris,ps01,48.8566,2.3522,rim,almisri,rim.almisri@mail.com,Tel: 5761025250,Digital Camera,Sony Alpha,Sony Alpha A6400,C793,1,899,71.92,TRUE
87,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,lama,aldiyn,Lama.aldiyn@mail.com,Tel: 5451275428,Laptop,Lenovo ThinkPad,ThinkPad X1 Carbon,I738,1,1499,89.94,FALSE
88,1/1/2023,Egypt,cairo,cr02,30.0444,31.2357,ahmad,abunfis,AHMAD.ABUNFIS@MAIL.COM,Tel: 5024005877,Tablet,Apple iPad,iPad Air,L841,1,649,38.94,TRUE
89,1/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,mahir,aljuju,MAHIR.ALJUJU@MAIL.COM,Tel: 5412259157,Smartphone,Google Pixel,Google Pixel 5a,X610,1,499,14.97,FALSE
90,1/1/2023,United Arab Emirates,dubai,db02,25.2048,55.2708,sandurana,alrifaei,SANDURANA.ALRIFAEI@MAIL.COM,Tel: 5639518624,Smart Speaker,Apple HomePod,Apple HomePod mini,U806,1,99,,TRUE
91,1/1/2023,USA,washington,wh01,38.9072,-77.0369,jalal,hajl,Jalal.hajl@mail.com,Tel: 5548217255,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,C793,2,999,139.86,TRUE
92,1/1/2023,USA,las vegas,lv01,36.1699,-115.1398,muwmin,altaynawi,Muwmin.altaynawi@mail.com,Tel: 5182382071,Gaming Console,Sony PlayStation,PlayStation 3,L106,1,199,7.96,FALSE
93,1/1/2023,USA,new york,ny03,40.7498,-73.9814,muhamad,tyzry,Muhamad.tyzry@mail.com,Tel: 5533873263,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,L028,1,229,13.74,TRUE
94,1/1/2023,Syria,homs,hs01,34.7326,36.7136,duhana,aljabr,DUHANA.ALJABR@MAIL.COM,Tel: 5833822647,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,X906,1,99,7.92,TRUE
95,1/1/2023,Egypt,asyut,at01,27.1809,31.1837,rama,maeruf,rama.maeruf@mail.com,Tel: 5809262053,Headphones,Bose QuietComfort,QC35 II,N658,13,299,310.96,FALSE
96,2/1/2023,Egypt,cairo,cr02,30.0444,31.2357,muhamad,alsyd,Muhamad.alsyd@mail.com,Tel: 5890038465,VR Headset,Oculus Quest,Oculus Quest 2 (256GB),E301,1,399,7.98,TRUE
97,2/1/2023,Saudi Arabia,jeddah,jd01,21.5433,39.1728,alaa,alshiyraziu,ALAA.ALSHIYRAZIU@MAIL.COM,Tel: 5420598454,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,N969,1,49,,TRUE
98,2/1/2023,Egypt,asyut,at01,27.1809,31.1837,faras,hamuwd,Faras.hamuwd@mail.com,Tel: 5852825629,Digital Camera,Sony Alpha,Sony Alpha A6400,B265,2,899,,FALSE
99,2/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,duhana,alhabis,DUHANA.ALHABIS@MAIL.COM,Tel: 5954736246,Smart Speaker,Harman Kardon,Harman Kardon Allure,J753,1,249,7.47,TRUE
100,2/1/2023,United Arab Emirates,abu dhabi,ad03,24.4539,54.3773,rwad,eazu,Rwad.eazu@mail.com,Tel: 5901766106,Smartwatch,Fossil Gen,Fossil Gen 5E,M073,1,199,13.93,TRUE
101,2/1/2023,USA,las vegas,lv01,36.1699,-115.1398,ahmad,jamul,Ahmad.jamul@mail.com,Tel: 5727579337,Smartphone,Google Pixel,Google Pixel 6 Pro,K012,1,899,71.92,TRUE
102,2/1/2023,Saudi Arabia,jeddah,jd02,21.4858,39.1925,eala,alhilaq,EALA.ALHILAQ@MAIL.COM,Tel: 5252930963,VR Headset,HTC Vive Pro,HTC Vive Pro 2,M137,1,1099,76.93,FALSE
103,2/1/2023,Saudi Arabia,jeddah,jd03,21.4858,39.1925,bilal,aljawfani,bilal.aljawfani@mail.com,Tel: 5111389515,Gaming Console,Nintendo Switch,Nintendo Switch OLED Pro,L412,2,449,89.8,TRUE
104,2/1/2023,Saudi Arabia,dammam,dm01,26.3927,49.9777,antuan,eurman,ANTUAN.EURMAN@MAIL.COM,Tel: 5331028196,Gaming Console,Sony PlayStation,PlayStation 3 Slim,I917,1,199,3.98,TRUE
105,2/1/2023,France,paris,ps01,48.8566,2.3522,lama,brnbu,LAMA.BRNBU@MAIL.COM,Tel: 5490218451,Gaming Console,Microsoft Xbox,Xbox One X,U290,1,299,5.98,FALSE
106,2/1/2023,Syria,homs,hs01,34.7326,36.7136,tana,almala,Tana.almala@mail.com,Tel: 5979595963,VR Headset,HTC Vive,HTC Vive Cosmos,G599,1,699,13.98,TRUE
107,2/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,eala,qahraman,eala.qahraman@mail.com,Tel: 5389769101,Smartphone,Samsung Galaxy,Galaxy M32,I838,1,249,17.43,TRUE
108,2/1/2023,Saudi Arabia,riyadh,rd01,24.7136,46.6753,sabah,qaziyha,Sabah.qaziyha@mail.com,Tel: 5640508149,Laptop,Dell XPS,XPS 15,D873,1,1599,47.97,TRUE
109,2/1/2023,France,paris,ps02,48.8566,2.3522,ailya,alrahil,ailya.alrahil@mail.com,Tel: 5273897147,Tablet,Microsoft Surface,Surface Go 2,I470,1,399,39.9,TRUE
110,2/1/2023,USA,las vegas,lv01,36.1699,-115.1398,rabye',abuhani,Rabye'.abuhani@mail.com,Tel: 5739930646,Fitness Tracker,Withings Move,Withings Move,R426,1,59,2.36,FALSE
111,2/1/2023,Syria,aleppo,al01,36.2021,37.1343,muhamad,aleabd,MUHAMAD.ALEABD@MAIL.COM,Tel: 5878378742,Laptop,Apple MacBook,"MacBook Air 13""",N639,12,999,239.76,TRUE
112,2/1/2023,USA,new york,ny03,40.7498,-73.9814,omar,alealbi,OMAR.ALEALBI@MAIL.COM,Tel: 5974119187,Headphones,Bose SoundSport,Bose SoundSport Free,E365,1,179,5.37,TRUE
113,2/1/2023,USA,las vegas,lv01,36.1699,-115.1398,muhamad,aljuju,muhamad.aljuju@mail.com,Tel: 5165641820,Laptop,HP Pavilion,HP Pavilion 15,G557,1,799,15.98,TRUE
114,2/1/2023,Saudi Arabia,dammam,dm01,26.3927,49.9777,ehab,alghumyan,Ehab.alghumyan@mail.com,Tel: 5505632614,Smart Speaker,Sonos One,Sonos One SL,L700,1,179,7.16,FALSE
115,2/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,mazin,alkhayran,MAZIN.ALKHAYRAN@MAIL.COM,Tel: 5848984857,Fitness Tracker,Garmin Approach,Garmin Approach S62,N985,2,499,69.86,TRUE
116,2/1/2023,Egypt,asyut,at01,27.1809,31.1837,jamal,sybea,jamal.sybea@mail.com,Tel: 5517090877,Digital Camera,Nikon Z Series,Nikon Z50,C787,1,799,47.94,TRUE
117,2/1/2023,Egypt,asyut,at01,27.1809,31.1837,diea,muayid,DIEA.MUAYID@MAIL.COM,Tel: 5073056992,Fitness Tracker,Fitbit Charge,Fitbit Charge 4,H016,1,149,8.94,TRUE
118,2/1/2023,Syria,aleppo,al01,36.2021,37.1343,muhamad,iidlibi,MUHAMAD.IIDLIBI@MAIL.COM,Tel: 5733738176,Headphones,Sennheiser HD,Sennheiser HD 599 SE,R236,1,199,19.9,FALSE
119,2/1/2023,Saudi Arabia,aseer,as01,18.2311,42.5004,eala,aldahan,Eala.aldahan@mail.com,Tel: 5565816259,Tablet,Samsung Galaxy Tab,Galaxy Tab S7,B112,1,649,51.92,FALSE
120,2/1/2023,United Arab Emirates,abu dhabi,ad02,24.4764,54.3705,amir,alhiwat,Amir.alhiwat@mail.com,Tel: 5646606574,Digital Camera,Olympus OM-D,Olympus OM-D E-M1 Mark III,I729,1,1999,99.95,FALSE
